cafe_idx,cafe_name,location,qrcode,cafe_lon,cafe_lat
1,구로호텔,서울특별시 구로구 디지털로32길 72  구로호텔 1층 (구로동),1,37.483129,126.898859
2,구로디지털타워,서울특별시 구로구 디지털로32길 30 (구로동),2,37.483432,126.89648
3,구로디지털로,서울특별시 구로구 디지털로33길 11  에이스테크노8차 1층 (구로동),3,37.485911,126.895587
4,구로에이스,서울특별시 구로구 디지털로 285  에이스트윈타워1차 103호 (구로동),4,37.484483,126.894496
5,구로하이엔드,서울특별시 구로구 디지털로26길 5  에이스하이엔드타워1차 103호 (구로동),5,37.481618,126.893136
6,신림DT,서울특별시 관악구 남부순환로 1419 (신림동),6,37.480935,126.908407
7,신세계아이앤씨,서울특별시 구로구 디지털로31길 61  신세계디지털센터 101호 (구로동),7,37.485879,126.891613
8,가산그레이트,서울특별시 금천구 디지털로9길 32  갑을그레이트밸리 1층 (가산동),8,37.479449,126.887477
9,W-Mall,서울특별시 금천구 디지털로 188 (가산동),9,37.477305,126.887691
10,독산사거리,서울특별시 금천구 시흥대로 426 (독산동),10,37.471511,126.898775
11,역삼아레나빌딩,서울특별시 강남구 언주로 425 (역삼동),11,37.501087,127.043069
12,논현역사거리,서울특별시 강남구 강남대로 538 (논현동),12,37.510178,127.022223
13,신사역성일빌딩,서울특별시 강남구 강남대로 584 (논현동),13,37.514132,127.020563
14,국기원사거리,서울특별시 강남구 테헤란로 125 (역삼동),14,37.499517,127.031495
15,스탈릿대치R,서울특별시 강남구 남부순환로 2947 (대치동),15,37.494668,127.062583
16,봉은사역,서울특별시 강남구 봉은사로 619 (삼성동),16,37.515,127.063196
17,압구정윤성빌딩,서울특별시 강남구 논현로 834 (신사동),17,37.522793,127.028601
18,코엑스별마당,서울특별시 강남구 영동대로 513 (삼성동),18,37.51015,127.060275
19,삼성역섬유센터R,서울특별시 강남구 테헤란로 518 (대치동),19,37.50775,127.060651
20,압구정R,서울특별시 강남구 언주로 861 (신사동),20,37.527367,127.033061
21,수서역R,서울특별시 강남구 광평로 281 (수서동),21,37.488008,127.10265
22,양재강남빌딩R,서울특별시 강남구 남부순환로 2621 (도곡동),22,37.485192,127.036685
23,선릉동신빌딩R,서울특별시 강남구 테헤란로 409 (삼성동),23,37.505321,127.050409
24,봉은사로선정릉,서울특별시 강남구 봉은사로 446 (삼성동),24,37.511293,127.048409
25,강남오거리,서울특별시 강남구 봉은사로2길 39 (역삼동),25,37.502117,127.026672
26,스타필드코엑스몰R,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호,26,37.50999,127.061455
27,강남구청정문,서울특별시 강남구 학동로 419 (청담동),27,37.518181,127.045995
28,도곡공원,서울특별시 강남구 도곡로 205 (역삼동),28,37.492805,127.041309
29,강남R,서울특별시 강남구 강남대로 390 (역삼동),29,37.497711,127.028439
30,대치은마사거리,서울특별시 강남구 도곡로 457 (대치동),30,37.498973,127.060172
31,청담영동대로,서울특별시 강남구 영동대로 720 (청담동),31,37.522156,127.056449
32,압구정,서울특별시 강남구 압구정로30길 17 (신사동),32,37.526283,127.02956
33,신사가로수,서울특별시 강남구 압구정로12길 32 (신사동),33,37.521852,127.02251
34,청담스타R,서울특별시 강남구 도산대로57길 24 (청담동),34,37.525216,127.041827
35,강남우성,서울특별시 강남구 강남대로 328 (역삼동),35,37.492396,127.03091
36,학동사거리,서울특별시 강남구 도산대로 328 (논현동),36,37.522365,127.037954
37,대치사거리,서울특별시 강남구 삼성로 402 (대치동),37,37.503331,127.058817
38,포스코사거리,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩,38,37.507531,127.057427
39,을지병원사거리,서울특별시 강남구 논현로 752 (논현동 구산빌딩),39,37.519163,127.028645
40,신사역,서울특별시 강남구 도산대로 108 (논현동) 렉스타워,40,37.516202,127.020743
41,도곡역,서울특별시 강남구 남부순환로 2909 (대치동),41,37.492167,127.057398
42,서울세관사거리,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회,42,37.514887,127.035653
43,청담사거리,서울특별시 강남구 도산대로 458 (청담동) 리츠타워,43,37.523635,127.046865
44,한티역,서울특별시 강남구 도곡로 408  디마크빌딩 101호 (대치동),44,37.496801,127.055055
45,역삼초교사거리,서울특별시 강남구 역삼로 123 (역삼동),45,37.494106,127.032997
46,코엑스몰,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 O103호,46,37.513715,127.059245
